#[s2-1]:LP1709-192-1ul-4-POS--05%-1.raw
#[s2-2]:LP1709-192-1ul-4-POS--05%-2.raw
#[s2-3]:LP1709-192-1ul-4-POS--05%-3.raw
#[s1-1]:LP1709-192-1ul-4-POS--CK1.raw
#[s1-2]:LP1709-192-1ul-4-POS--CK2.raw
#[s1-3]:LP1709-192-1ul-4-POS--CK3.raw
#[c-1]:QC1-1ul-4-POS--CK2.raw
#[c-2]:QC2-1ul-4-POS--CK2.raw
#normalize base:
#control group:c
#toprank filter:true
#mScoreThreshold:5.0
#cScoreThreshold:2.0

LipidIon	Class	FattyAcid	FA1	FA2	FA3	CalcMz	IonFormula	ARatio[s1/c]	ARatio[s2/c]	HRatio[s1/c]	HRatio[s2/c]	ADiff[s1/c]	ADiff[s2/c]	HDiff[s1/c]	HDiff[s2/c]	GroupArea[c]	GroupArea[s1]	GroupArea[s2]	GroupHeight[c]	GroupHeight[s1]	GroupHeight[s2]	GroupTopPos[c]	GroupTopPos[s1]	GroupTopPos[s2]	Area[s2-1]	Area[s2-2]	Area[s2-3]	Area[s1-1]	Area[s1-2]	Area[s1-3]	Area[c-1]	Area[c-2]	Height[s2-1]	Height[s2-2]	Height[s2-3]	Height[s1-1]	Height[s1-2]	Height[s1-3]	Height[c-1]	Height[c-2]	NormArea[s2-1]	NormArea[s2-2]	NormArea[s2-3]	NormArea[s1-1]	NormArea[s1-2]	NormArea[s1-3]	NormArea[c-1]	NormArea[c-2]	NormHeight[s2-1]	NormHeight[s2-2]	NormHeight[s2-3]	NormHeight[s1-1]	NormHeight[s1-2]	NormHeight[s1-3]	NormHeight[c-1]	NormHeight[c-2]	TopPos[s2-1]	TopPos[s2-2]	TopPos[s2-3]	TopPos[s1-1]	TopPos[s1-2]	TopPos[s1-3]	TopPos[c-1]	TopPos[c-2]	Hwhm(L)[s2-1]	Hwhm(L)[s2-2]	Hwhm(L)[s2-3]	Hwhm(L)[s1-1]	Hwhm(L)[s1-2]	Hwhm(L)[s1-3]	Hwhm(L)[c-1]	Hwhm(L)[c-2]	Hwhm(R)[s2-1]	Hwhm(R)[s2-2]	Hwhm(R)[s2-3]	Hwhm(R)[s1-1]	Hwhm(R)[s1-2]	Hwhm(R)[s1-3]	Hwhm(R)[c-1]	Hwhm(R)[c-2]	AreaScore[s2-1]	AreaScore[s2-2]	AreaScore[s2-3]	AreaScore[s1-1]	AreaScore[s1-2]	AreaScore[s1-3]	AreaScore[c-1]	AreaScore[c-2]	DataId[s2-1]	DataId[s2-2]	DataId[s2-3]	DataId[s1-1]	DataId[s1-2]	DataId[s1-3]	DataId[c-1]	DataId[c-2]	Scan[s2-1]	Scan[s2-2]	Scan[s2-3]	Scan[s1-1]	Scan[s1-2]	Scan[s1-3]	Scan[c-1]	Scan[c-2]	ObsMz[s2-1]	ObsMz[s2-2]	ObsMz[s2-3]	ObsMz[s1-1]	ObsMz[s1-2]	ObsMz[s1-3]	ObsMz[c-1]	ObsMz[c-2]	Rt[s2-1]	Rt[s2-2]	Rt[s2-3]	Rt[s1-1]	Rt[s1-2]	Rt[s1-3]	Rt[c-1]	Rt[c-2]	It.[s2-1]	It.[s2-2]	It.[s2-3]	It.[s1-1]	It.[s1-2]	It.[s1-3]	It.[c-1]	It.[c-2]	z[s2-1]	z[s2-2]	z[s2-3]	z[s1-1]	z[s1-2]	z[s1-3]	z[c-1]	z[c-2]	Delta(Da)[s2-1]	Delta(Da)[s2-2]	Delta(Da)[s2-3]	Delta(Da)[s1-1]	Delta(Da)[s1-2]	Delta(Da)[s1-3]	Delta(Da)[c-1]	Delta(Da)[c-2]	Delta(ppm)[s2-1]	Delta(ppm)[s2-2]	Delta(ppm)[s2-3]	Delta(ppm)[s1-1]	Delta(ppm)[s1-2]	Delta(ppm)[s1-3]	Delta(ppm)[c-1]	Delta(ppm)[c-2]	mScore[s2-1]	mScore[s2-2]	mScore[s2-3]	mScore[s1-1]	mScore[s1-2]	mScore[s1-3]	mScore[c-1]	mScore[c-2]	tScore[s2-1]	tScore[s2-2]	tScore[s2-3]	tScore[s1-1]	tScore[s1-2]	tScore[s1-3]	tScore[c-1]	tScore[c-2]	
AcCa(16:0)+H	AcCa	(16:0)	(16:0)			400.34213547	C23 H46 O4 N1	1.3621423053137311	0.8566410260682251	1.3343909464859354	1.2184069345096071	1829733.2210000008	-724324.8669999996	193581.36800000002	126437.37399999995	5052525.469	6882258.69	4328200.602	578907.324	772488.692	705344.698	2.7090572390902126	2.7090572390902126	2.7090572390902126	3698551.087	3860407.368	4328200.602	6882258.69	3842794.748	6217043.515	5052525.469	3962925.336	705344.698	477514.664	468831.639	772488.692	475445.356	674220.918	483819.878	578907.324	3698551.087	3860407.368	4328200.602	6882258.69	3842794.748	6217043.515	5052525.469	3962925.336	705344.698	477514.664	468831.639	772488.692	475445.356	674220.918	483819.878	578907.324	2.704	2.702	2.698	2.704	2.71	2.705	2.746	2.718	0.035	0.045	0.053	0.0	0.061	0.0	0.0	0.052	0.047	0.081	0.091	0.0	0.066	0.0	0.0	0.055	0.75	0.82	0.85	1.0	0.85	1.0	1.0	0.96	1264	1274	1277	1278	1265	1263	1190	1198	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	400.340291	400.34047	400.340859	400.340895	400.340637	400.340403	400.340648	400.340611	2.7090572390902126	2.7090572390902126	2.7090572390902126	2.7090572390902126	2.7090572390902126	2.7090572390902126	2.7090572390902126	2.7090572390902126	498126.09375	332756.3125	274114.09375	513643.1875	370164.3125	595615.9375	161955.609375	204092.4375	1	1	1	1	1	1	1	1	-0.0018444700000372904	-0.0016654700000344747	-0.0012764699999934237	-0.0012404700000274715	-0.0014984700000013618	-0.0017324700000358462	-0.001487470000029134	-0.0015244699999925615	-4.607249168490274	-4.160128297994203	-3.188453594817743	-3.0985300674585683	-3.742982371442951	-4.327486342365906	-3.7155057059376824	-3.8079272233269426	39.56282745730421	22.370185082354116	21.1434352746142	32.563759969287204	23.4705983932969	41.67286116924612	17.41919775094974	11.787280386006092	0.07138547953745356	0.087238490331357	0.029681140952371177	0.2041101917245678	0.0686481150912428	0.031249046484503218	0.47421549359009774	0.006187054041953743	
AcCa(18:1)+H	AcCa	(18:1)	(18:1)			426.35778547000007	C25 H48 O4 N1	1.3441174485612657	1.0105389146848636	1.3748812894671387	0.9197985186159998	9905860.540999997	303376.1279999986	822826.5520000001	-176034.1479999998	2.8786278006E7	3.8692138547E7	2.9089654134E7	2194898.959	3017725.511	2018864.811	2.913788359071169	2.913788359071169	2.913788359071169	2.9089654134E7	2.5467828144E7	2.817238705E7	3.8692138547E7	2.8620611364E7	3.4443304765E7	2.8786278006E7	2.8247160423E7	2018864.811	1969363.107	1981536.642	3017725.511	2146815.238	2773011.912	2070174.072	2194898.959	2.9089654134E7	2.5467828144E7	2.817238705E7	3.8692138547E7	2.8620611364E7	3.4443304765E7	2.8786278006E7	2.8247160423E7	2018864.811	1969363.107	1981536.642	3017725.511	2146815.238	2773011.912	2070174.072	2194898.959	2.928	2.907	2.924	2.904	2.881	2.926	2.923	2.919	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1345	1336	1333	1355	1335	1347	1323	1351	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	426.355455	426.355359	426.355758	426.355939	426.355453	426.355724	426.355884	426.355638	2.913788359071169	2.913788359071169	2.913788359071169	2.913788359071169	2.913788359071169	2.913788359071169	2.913788359071169	2.913788359071169	1915894.5	1325352.5	1895435.25	2975363.0	2147557.75	2230537.25	1622133.625	2072868.75	1	1	1	1	1	1	1	1	-0.0023304700000608136	-0.0024264700000458106	-0.0020274700000868506	-0.0018464700000890844	-0.002332470000055764	-0.0020614700000578523	-0.0019014700000639095	-0.002147470000068097	-5.466018962476819	-5.691184189526153	-4.755341879630882	-4.330812486954734	-5.470709903661676	-4.835087772545435	-4.459813092957417	-5.036798029238853	35.61793640364524	37.867688334253074	46.81126575479598	35.81393089638796	36.691430148294366	35.779627060761	36.4420018229343	45.475586982106634	0.006010285606405041	0.1757210269235312	0.0738260015789689	0.14487040347909463	0.14078974589228688	0.03370915747177161	0.42363006221245536	0.08605684786454182	
AcCa(18:2)+H	AcCa	(18:2)	(18:2)			424.34213547	C25 H46 O4 N1	1.9543599209604778	1.3731679887395332	1.9888053946620146	1.4650197940173886	2527036.2249999996	988106.2740000002	235227.47500000003	110623.82199999999	2647885.949	5174922.174	3635992.223	237890.566	473118.041	348514.388	2.119654503770033	2.119654503770033	2.119654503770033	3635992.223	2830711.636	2696497.778	5174922.174	2595141.077	3845936.824	2548910.766	2647885.949	348514.388	254846.873	244505.187	473118.041	265862.378	334538.352	220133.926	237890.566	3635992.223	2830711.636	2696497.778	5174922.174	2595141.077	3845936.824	2548910.766	2647885.949	348514.388	254846.873	244505.187	473118.041	265862.378	334538.352	220133.926	237890.566	2.109	2.102	2.132	2.121	2.127	2.118	2.134	2.128	0.0	0.0	0.127	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.046	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.85	1.0	1.0	1.0	1.0	1.0	908	910	910	903	953	981	952		MS2	MS2	MS2	MS2	MS2	MS2	MS2		424.340383	424.340438	424.340454	424.340641	424.340164	424.340607	424.340755		2.119654503770033	2.119654503770033	2.119654503770033	2.119654503770033	2.119654503770033	2.119654503770033	2.119654503770033		172630.890625	152352.3125	163645.046875	236911.390625	188580.90625	264641.5	200061.46875		1	1	1	1	1	1	1	1	-0.0017524700000421944	-0.0016974700000105258	-0.0016814699999940785	-0.0014944700000114608	-0.0019714700000008634	-0.0015284700000393059	-0.001380470000015066		-4.1298632062749725	-4.000249926106345	-3.9625442508945437	-3.5218593831693186	-4.64596005470836	-3.6019838757573597	-3.253206766655157		5.211392199717361	10.809547867313377	10.086510762011098	19.530739056463915	11.528731235536606	13.090721855039828	13.723463122823441		0.4720921038307795	0.6431435935815797	0.5504658722440579	0.3766501193731888	0.5383232410739933	0.3627109933533208	0.8022102868416865		
Cer(d18:0/16:0)+H	Cer	(d18:0/16:0)	(d18:0)	(16:0)		540.5350204700001	C34 H70 O3 N1	1.153660905289959	0.936026496423123	1.0804231209405937	0.9450151121237442	2237020.8380000014	-931336.8310000002	212560.1549999998	-145326.321	1.4558165161E7	1.6795185999E7	1.362682833E7	2643022.958	2855583.113	2497696.637	15.441077650890602	15.441077650890602	15.441077650890602	1.362682833E7	1.2694741048E7	1.2575434664E7	1.6795185999E7	1.3779366903E7	1.6283819769E7	1.4558165161E7	1.44850158E7	2497696.637	2252546.456	2436347.952	2855583.113	2340599.073	2740605.45	2643022.958	2523230.442	1.362682833E7	1.2694741048E7	1.2575434664E7	1.6795185999E7	1.3779366903E7	1.6283819769E7	1.4558165161E7	1.44850158E7	2497696.637	2252546.456	2436347.952	2855583.113	2340599.073	2740605.45	2643022.958	2523230.442	15.434	15.438	15.454	15.431	15.441	15.436	15.45	15.446	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7352	7348	7327	7344	7334	7336	7342	7343	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	540.534285	540.533955	540.533886	540.534415	540.534285	540.534507	540.534424	540.534261	15.441077650890602	15.441077650890602	15.441077650890602	15.441077650890602	15.441077650890602	15.441077650890602	15.441077650890602	15.441077650890602	2456479.75	2238966.25	2423622.5	2374061.5	2196031.0	2640543.5	2608096.25	2447941.25	1	1	1	1	1	1	1	1	-7.354700001087622E-4	-0.0010654700000714001	-0.0011344700000108787	-6.054700000959201E-4	-7.354700001087622E-4	-5.134700001008241E-4	-5.964700001186429E-4	-7.59470000048168E-4	-1.3606338657320654	-1.9711415147659783	-2.0987932082390115	-1.12013105709547	-1.3606338657320654	-0.9499291393735079	-1.1034808669767222	-1.4050343967829457	36.79212898436945	35.86689240247075	36.95323161074953	37.962664306751805	36.07100700400128	34.888832291955204	36.975000709742446	36.59982689669693	0.8514050843507963	0.8547877035442006	0.7599593122067692	0.7507092061094287	0.9038357979452449	0.7864690039111739	0.5018216950025742	0.7688883410051144	
Cer(d18:1/16:0)+H	Cer	(d18:1/16:0)	(d18:1)	(16:0)		538.51937047	C34 H68 O3 N1	1.1337408307527725	1.0533714530073501	1.1366938117870888	1.0874395145291347	5548850.202	2214358.891999997	1062736.705	679805.3279999997	4.1489574805E7	4.7038425007E7	4.3703933697E7	7774578.023	8837314.728	8454383.351	14.841982316928805	14.841982316928805	14.841982316928805	4.2845629532E7	3.9572608915E7	4.3703933697E7	4.7038425007E7	4.0628395587E7	4.2501188715E7	4.1489574805E7	3.9527186114E7	8454383.351	7755893.467	8136293.41	8837314.728	7703280.843	7494810.346	7774578.023	7375579.282	4.2845629532E7	3.9572608915E7	4.3703933697E7	4.7038425007E7	4.0628395587E7	4.2501188715E7	4.1489574805E7	3.9527186114E7	8454383.351	7755893.467	8136293.41	8837314.728	7703280.843	7494810.346	7774578.023	7375579.282	14.834	14.85	14.841	14.851	14.842	14.834	14.843	14.84	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	7037	7019	7011	7033	7017	7022	7022	7024	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	538.518162	538.518071	538.518461	538.518385	538.518386	538.518286	538.518568	538.51832	14.841982316928805	14.841982316928805	14.841982316928805	14.841982316928805	14.841982316928805	14.841982316928805	14.841982316928805	14.841982316928805	4928438.0	1704479.75	7436913.0	5769027.5	3084168.0	3578458.5	3567520.75	3439339.25	1	1	1	1	1	1	1	1	-0.0012084700000514204	-0.0012994700000490411	-9.094700000105149E-4	-9.85470000046007E-4	-9.844700000485318E-4	-0.0010844700000234297	-8.024700000532903E-4	-0.0010504699999955847	-2.244063161449055	-2.413045627249013	-1.6888354615452994	-1.829963514163255	-1.8281065658494293	-2.01380143179192	-1.490142086736091	-1.9506651695660404	33.51750342319601	33.088582675948544	34.540611460671265	33.57364127638491	33.924101864034455	33.42937390083009	33.24592679900997	33.40759433668135	1.093855520038968	1.0603334688278103	0.9844720321818254	1.0431125956592204	1.1226607493537024	1.076217817988601	0.7218192618406025	0.9946652914521437	
Cer(d18:1/18:0)+H	Cer	(d18:1/18:0)	(d18:1)	(18:0)		566.55067047	C36 H72 O3 N1	1.0911287093438085	1.127829444430124	1.0367386864518675	1.0558400172092146	1753866.4089999981	2460210.072999999	124115.73600000003	188646.50600000005	1.9246035872E7	2.0999902281E7	2.1706245945E7	3378338.966	3502454.702	3566985.472	16.438074575498124	16.438074575498124	16.438074575498124	2.1706245945E7	1.9805866289E7	1.9954925252E7	2.0999902281E7	1.8883689115E7	1.6891488677E7	1.9246035872E7	1.919239762E7	3566985.472	3050759.483	3295902.537	3471425.472	3192325.474	3502454.702	3378338.966	3003155.623	2.1706245945E7	1.9805866289E7	1.9954925252E7	2.0999902281E7	1.8883689115E7	1.6891488677E7	1.9246035872E7	1.919239762E7	3566985.472	3050759.483	3295902.537	3471425.472	3192325.474	3502454.702	3378338.966	3003155.623	16.422	16.437	16.442	16.44	16.433	16.439	16.455	16.437	0.0	0.0	0.0	0.046	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.048	0.0	0.042	0.0	0.0	1.0	1.0	1.0	0.9	1.0	0.85	1.0	1.0	7841	7831	7803	7848	7831	7842	7826	7826	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	566.549541	566.549713	566.549412	566.549979	566.549587	566.549955	566.550002	566.549643	16.438074575498124	16.438074575498124	16.438074575498124	16.438074575498124	16.438074575498124	16.438074575498124	16.438074575498124	16.438074575498124	3085606.5	2452074.5	1662531.875	2441232.75	2916036.75	2634976.75	2242981.0	2419734.25	1	1	1	1	1	1	1	1	-0.0011294700000235025	-9.574700000030134E-4	-0.0012584700000388693	-6.914699999924778E-4	-0.0010834700000259545	-7.154700000455705E-4	-6.684700000505472E-4	-0.001027470000053654	-1.993592483518079	-1.6900001024045306	-2.2212868903240013	-1.22049131788314	-1.912399154246752	-1.2628529947245648	-1.1798947144702325	-1.8135551190599988	35.46339857115092	33.724824408254285	35.63253525878085	34.553105033026256	35.29164442912278	34.61434303128315	34.72233271374694	35.508778306879776	1.3761231648774555	1.3779942188096719	1.2686925005986982	1.2748680515943285	1.4589541689965504	1.3154017882936486	1.0282273613787982	1.2944332743048879	
Cer(d18:1/18:1)+H	Cer	(d18:1/18:1)	(d18:1)	(18:1)		564.5350204700001	C36 H70 O3 N1	1.1627909090244248	1.3846289777235745	1.212636851480909	1.3016725375071034	1559223.051000001	3684004.0500000007	395047.2209999999	560462.1060000001	9578072.021	1.1137295072E7	1.3262076071E7	1857849.278	2252896.499	2418311.384	14.997	14.997	14.997	1.3262076071E7	1.1417582535E7	1.2113191758E7	1.1137295072E7	9108514.976	1.0690464605E7	9578072.021	9049701.928	2370374.127	2164266.668	2418311.384	2252896.499	1688008.85	1901739.115	1857849.278	1577266.212	1.3262076071E7	1.1417582535E7	1.2113191758E7	1.1137295072E7	9108514.976	1.0690464605E7	9578072.021	9049701.928	2370374.127	2164266.668	2418311.384	2252896.499	1688008.85	1901739.115	1857849.278	1577266.212	14.994	15.009	14.997	15.01	15.004	15.006	15.011	15.012	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.05	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.04	1.0	0.94	1.0	1.0	1.0	1.0	1.0	0.88			7093								MS2								564.534476								14.997								2397798.75						1	1	1	1	1	1	1	1			-5.444700000225566E-4								-0.9644574319828103								34.78936315925476								0.7262380662919856						
Cer(d18:1/20:0)+H	Cer	(d18:1/20:0)	(d18:1)	(20:0)		594.5819704700001	C38 H76 O3 N1	1.1468144411282866	1.0537863101033735	1.0660734184223957	0.9769958663537435	3116400.425999999	1141711.1180000007	231940.99800000014	-80752.62099999981	2.1226797596E7	2.4343198022E7	2.2368508714E7	3510352.628	3742293.626	3429600.007	18.095579449223322	18.095579449223322	18.095579449223322	2.2368508714E7	2.0648422129E7	2.1322421731E7	2.4343198022E7	2.042981813E7	2.1707651692E7	2.0315571125E7	2.1226797596E7	3429600.007	3041059.925	3135712.553	3742293.626	2929842.527	3354739.899	3241809.916	3510352.628	2.2368508714E7	2.0648422129E7	2.1322421731E7	2.4343198022E7	2.042981813E7	2.1707651692E7	2.0315571125E7	2.1226797596E7	3429600.007	3041059.925	3135712.553	3742293.626	2929842.527	3354739.899	3241809.916	3510352.628	18.084	18.089	18.111	18.102	18.095	18.088	18.105	18.091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	8653	8639	8601	8656	8624	8639	8625	8642	MS2	MS2	MS2	MS2	MS2	MS2	MS2	MS2	594.581165	594.581243	594.58084	594.581336	594.580825	594.581194	594.581318	594.581102	18.095579449223322	18.095579449223322	18.095579449223322	18.095579449223322	18.095579449223322	18.095579449223322	18.095579449223322	18.095579449223322	2220230.0	1865007.75	1448518.5	2033769.25	1487587.5	1025230.0	1416883.125	2592931.25	1	1	1	1	1	1	1	1	-8.05470000045716E-4	-7.274700001289602E-4	-0.0011304700001346646	-6.34470000136389E-4	-0.0011454700000967932	-7.76470000118934E-4	-6.524700000909434E-4	-8.6847000011403E-4	-1.3546834383178108	-1.2234986178386114	-1.9012872281952131	-1.0670859920966471	-1.9265151097757989	-1.3059095908579077	-1.097359399637901	-1.4606404340596293	33.63110657304541	33.56059946558708	32.98076677145034	34.70068814050001	35.60939563647108	34.1576309749088	34.087778895672756	34.29337483784221	1.593541254340483	1.5941800216218844	1.4868899220114322	1.4232934152503738	1.685825523893545	1.433895415260615	1.2675961749807385	1.5516416019066952	
Cer(d20:2/18:0+O)+NH4	Cer	(d20:2/18:0+O)	(d20:2)	(18:0+O)		625.58778447	C38 H77 O4 N2	1.006114292881191	1.0903757558131018	0.9986771798742513	0.8892205029604708	370349.3102999851	5474156.943999998	-786.8499999999767	-65894.70900000003	6.0571077882E7	6.0941427192299984E7	6.6045234826E7	594827.66	594040.81	528932.951	8.231	8.231	8.231	6.3886416562E7	5.9868820023E7	6.6045234826E7	5.623964365319997E7	6.0941427192299984E7	5.978430831299997E7	5.6793522847200036E7	6.0571077882E7	522620.095	528932.951	517508.916	561211.18	592244.0	594040.81	594827.66	521714.59	6.3886416562E7	5.9868820023E7	6.6045234826E7	5.623964365319997E7	6.0941427192299984E7	5.978430831299997E7	5.6793522847200036E7	6.0571077882E7	522620.095	528932.951	517508.916	561211.18	592244.0	594040.81	594827.66	521714.59	8.177	8.183	8.145	8.497	8.563	8.543	8.549	8.231	0.74	0.655	0.673	0.0	0.0	0.0	0.0	0.716	1.174	1.118	1.326	0.0	0.0	0.0	0.0	1.102	0.73	0.69	0.71	1.0	1.0	1.0	1.0	0.71								3886								MS2								625.585559								8.231								444912.40625	1	1	1	1	1	1	1	1								-0.0022254699999848526								-3.5574159547303092								5.386581354741772								7.194415669837872	
Cer(d20:2/18:0+O)+NH4	Cer	(d20:2/18:0+O)	(d20:2)	(18:0+O)		625.58778447	C38 H77 O4 N2	1.012781148656716	1.0251422036840405	0.9699756119556506	0.984690429000804	964147.7459999919	1896605.6700000018	-18481.068000000087	-9423.580000000075	7.5435140604E7	7.639928835E7	7.7331746274E7	615535.2100000001	597054.142	606111.63	8.575	8.575	8.575	7.400685918660003E7	7.246152758429997E7	7.7331746274E7	7.32316990842E7	7.4435217951E7	7.639928835E7	7.5435140604E7	7.343615113559991E7	587131.42	583009.71	606111.63	563976.3500000001	597054.142	595407.954	595122.162	615535.2100000001	7.400685918660003E7	7.246152758429997E7	7.7331746274E7	7.32316990842E7	7.4435217951E7	7.639928835E7	7.5435140604E7	7.343615113559991E7	587131.42	583009.71	606111.63	563976.3500000001	597054.142	595407.954	595122.162	615535.2100000001	8.559	8.52	8.267	8.497	8.575	8.535	8.673	8.415	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0					4658								MS2								625.587052								8.575								239254.78125				1	1	1	1	1	1	1	1					-7.324700000026496E-4								-1.1708512115363197								5.684538775236863								5.394666964004912				
