LipidIon	ave area	AreaScore	TopPos-RT	max m-score	ave t-score
LPC	2000000.0	0.8	0.1	15	6.1
PC	5000000.0	0.8	0.1	20	6.1
LPE	2000000.0	0.8	0.1	15	6.1
PE	10000000.0	0.8	0.1	25	6.1
LPS	2000000.0	0.8	0.1	15	6.1
PS	10000000	0.8	0.1	25	6.1
LPG	2000000.0	0.8	0.1	15	6.1
PG	1000000.0	0.8	0.1	20	6.1
LPI	600000.0	0.8	0.1	15	6.1
PI	1000000.0	0.8	0.1	25	6.1
CL	5000000.0	0.8	0.1	90	6.1
Cer	5000000000	0.8	0.1	20	6.1
OAHFA	5000000000	0.8	0.1	20	6.1
PA	5000000000	0.8	0.1	20	6.1
CerG1	5000000000	0.8	0.1	20	6.1
CerG2	5000000000	0.8	0.1	20	6.1
CerG3	5000000000	0.8	0.1	20	6.1
CerP	5000000000	0.8	0.1	20	6.1
ChE	5000000000	0.8	0.1	20	6.1
DGDG	5000000000	0.8	0.1	20	6.1
FA	5000000000	0.8	0.1	20	6.1
LdMePE	5000000000	0.8	0.1	20	6.1
OAHFA	5000000000	0.8	0.1	20	6.1
MGDG	5000000000	0.8	0.1	20	6.1
PA	5000000000	0.8	0.1	20	6.1
PEt	5000000000	0.8	0.1	20	6.1
PIP2	5000000000	0.8	0.1	20	6.1
PMe	5000000000	0.8	0.1	20	6.1
SM	5000000000	0.8	0.1	20	6.1
dMePE	5000000000	0.8	0.1	20	6.1
phSM	5000000000	0.8	0.1	20	6.1
