LipidIon	ave area	AreaScore	TopPos-RT	max m-score	ave t-score
DG	10000000	0.8	0.1	30	5.0
TG	10000000	0.8	0.1	50	7.0
LPC	1000000000	0.8	0.1	30	0.1
PAF	1000000000	0.8	0.1	30	0.1
PC	1000000000	0.8	0.1	30	0.1
mEpc	1000000000	0.8	0.1	30	0.1
LPE	1000000000	0.8	0.1	30	0.1
PE	1000000000	0.8	0.1	30	0.1
LdMePE	1000000000	0.8	0.1	30	0.1
BisMePE	1000000000	0.8	0.1	30	0.1
dMePE	1000000000	0.8	0.1	30	0.1
LPS	1000000000	0.8	0.1	30	0.1
PS	1000000000	0.8	0.1	30	0.1
BisMePS	1000000000	0.8	0.1	30	0.1
LPG	1000000000	0.8	0.1	30	0.1
PG	1000000000	0.8	0.1	30	0.1
BisMePG	1000000000	0.8	0.1	30	0.1
LPI	1000000000	0.8	0.1	30	0.1
PI	1000000000	0.8	0.1	30	0.1
PIP	1000000000	0.8	0.1	30	0.1
PIP2	1000000000	0.8	0.1	30	0.1
PIP3	1000000000	0.8	0.1	30	0.1
LPEt	1000000000	0.8	0.1	30	0.1
PEt	1000000000	0.8	0.1	30	0.1
LPA	1000000000	0.8	0.1	30	0.1
BisMeLPA	1000000000	0.8	0.1	30	0.1
PA	1000000000	0.8	0.1	30	0.1
BisMePA	1000000000	0.8	0.1	30	0.1
cPA	1000000000	0.8	0.1	30	0.1
LPMe	1000000000	0.8	0.1	30	0.1
PMe	1000000000	0.8	0.1	30	0.1
SM	1000000000	0.8	0.1	30	0.1
LSM	1000000000	0.8	0.1	30	0.1
phSM	1000000000	0.8	0.1	30	0.1
MG	1000000000	0.8	0.1	30	0.1
FA	1000000000	0.8	0.1	30	0.1
CL	1000000000	0.8	0.1	30	0.1
So	1000000000	0.8	0.1	30	0.1
SoP	1000000000	0.8	0.1	30	0.1
SoG1	1000000000	0.8	0.1	30	0.1
CerG1	1000000000	0.8	0.1	30	0.1
CerG2	1000000000	0.8	0.1	30	0.1
CerG3	1000000000	0.8	0.1	30	0.1
CerG2GNAc1	1000000000	0.8	0.1	30	0.1
CerG3GNAc1	1000000000	0.8	0.1	30	0.1
CerG3GNAc2	1000000000	0.8	0.1	30	0.1
ST	1000000000	0.8	0.1	30	0.1
Cer	1000000000	0.8	0.1	30	0.1
CerP	1000000000	0.8	0.1	30	0.1
GM3	1000000000	0.8	0.1	30	0.1
GM2	1000000000	0.8	0.1	30	0.1
GM1	1000000000	0.8	0.1	30	0.1
GD1a	1000000000	0.8	0.1	30	0.1
GD1b	1000000000	0.8	0.1	30	0.1
GD2	1000000000	0.8	0.1	30	0.1
GD3	1000000000	0.8	0.1	30	0.1
GT1a	1000000000	0.8	0.1	30	0.1
GT1b	1000000000	0.8	0.1	30	0.1
GT1c	1000000000	0.8	0.1	30	0.1
GT2	1000000000	0.8	0.1	30	0.1
GT3	1000000000	0.8	0.1	30	0.1
GQ1c	1000000000	0.8	0.1	30	0.1
GQ1b	1000000000	0.8	0.1	30	0.1
ChE	1000000000	0.8	0.1	30	0.1
ZyE	1000000000	0.8	0.1	30	0.1
StE	1000000000	0.8	0.1	30	0.1
SiE	1000000000	0.8	0.1	30	0.1
AGlcSiE	1000000000	0.8	0.1	30	0.1
Co	1000000000	0.8	0.1	30	0.1
OAHFA	1000000000	0.8	0.1	30	0.1
WE	1000000000	0.8	0.1	30	0.1
AcCa	1000000000	0.8	0.1	30	0.1
MGMG	1000000000	0.8	0.1	30	0.1
MGDG	1000000000	0.8	0.1	30	0.1
DGMG	1000000000	0.8	0.1	30	0.1
DGDG	1000000000	0.8	0.1	30	0.1
SQMG	1000000000	0.8	0.1	30	0.1
SQDG	1000000000	0.8	0.1	30	0.1
